Date,S&P Comp,Dividend,Earnings,GS10
1897.1,4.82,0.18,0.29,3.36
1897.11,4.65,0.18,0.3,3.36
1897.12,4.75,0.18,0.31,3.35
1898.01,4.88,0.18,0.31,3.35
1898.02,4.87,0.18,0.32,3.33
1898.03,4.65,0.19,0.32,3.31
1898.04,4.57,0.19,0.32,3.29
1898.05,4.87,0.19,0.33,3.27
1898.06,5.06,0.19,0.33,3.25
1898.07,5.08,0.19,0.33,3.23
1898.08,5.27,0.19,0.34,3.2
1898.09,5.26,0.2,0.34,3.18
1898.1,5.15,0.2,0.34,3.16
1898.11,5.32,0.2,0.35,3.14
1898.12,5.65,0.2,0.35,3.12
1899.01,6.08,0.2,0.36,3.1
1899.02,6.31,0.2,0.37,3.1
1899.03,6.4,0.2,0.38,3.11
1899.04,6.48,0.2,0.39,3.11
1899.05,6.21,0.2,0.4,3.12
1899.06,6.07,0.21,0.42,3.12
1899.07,6.28,0.21,0.43,3.13
1899.08,6.44,0.21,0.44,3.13
1899.09,6.37,0.21,0.45,3.13
1899.1,6.34,0.21,0.46,3.14
1899.11,6.46,0.21,0.47,3.14
1899.12,6.02,0.21,0.48,3.15
1900.01,6.1,0.22,0.48,3.15
1900.02,6.21,0.23,0.48,3.15
1900.03,6.26,0.23,0.48,3.14
1900.04,6.34,0.24,0.48,3.14
1900.05,6.04,0.25,0.48,3.13
1900.06,5.86,0.26,0.48,3.13
1900.07,5.86,0.26,0.48,3.13
1900.08,5.94,0.27,0.48,3.12
1900.09,5.8,0.28,0.48,3.12
1900.1,6.01,0.29,0.48,3.11
1900.11,6.48,0.29,0.48,3.11
1900.12,6.87,0.3,0.48,3.1
1901.01,7.07,0.3,0.48,3.1
1901.02,7.25,0.3,0.48,3.11
1901.03,7.51,0.31,0.49,3.11
1901.04,8.14,0.31,0.49,3.12
1901.05,7.73,0.31,0.49,3.13
1901.06,8.5,0.31,0.49,3.13
1901.07,7.93,0.31,0.49,3.14
1901.08,8.04,0.31,0.49,3.15
1901.09,8,0.32,0.5,3.15
1901.1,7.91,0.32,0.5,3.16
1901.11,8.08,0.32,0.5,3.17
1901.12,7.95,0.32,0.5,3.17
1902.01,8.12,0.32,0.51,3.18
1902.02,8.19,0.32,0.52,3.19
1902.03,8.2,0.32,0.53,3.2
1902.04,8.48,0.32,0.54,3.21
1902.05,8.46,0.32,0.55,3.22
1902.06,8.41,0.33,0.57,3.23
1902.07,8.6,0.33,0.58,3.24
1902.08,8.83,0.33,0.59,3.25
1902.09,8.85,0.33,0.6,3.26
1902.1,8.57,0.33,0.61,3.27
1902.11,8.24,0.33,0.62,3.28
1902.12,8.05,0.33,0.63,3.29
1903.01,8.46,0.33,0.62,3.3
1903.02,8.41,0.33,0.61,3.31
1903.03,8.08,0.34,0.61,3.32
1903.04,7.75,0.34,0.6,3.33
1903.05,7.6,0.34,0.59,3.33
1903.06,7.18,0.34,0.58,3.34
1903.07,6.85,0.34,0.57,3.35
1903.08,6.63,0.34,0.56,3.36
1903.09,6.47,0.35,0.56,3.37
1903.1,6.26,0.35,0.55,3.38
1903.11,6.28,0.35,0.54,3.38
1903.12,6.57,0.35,0.53,3.39
1904.01,6.68,0.35,0.53,3.4
1904.02,6.5,0.34,0.52,3.41
1904.03,6.48,0.34,0.52,3.41
1904.04,6.64,0.34,0.52,3.42
1904.05,6.5,0.33,0.51,3.43
1904.06,6.51,0.33,0.51,3.43
1904.07,6.78,0.33,0.51,3.44
1904.08,7.01,0.32,0.5,3.45
1904.09,7.32,0.32,0.5,3.45
1904.1,7.75,0.32,0.5,3.46
1904.11,8.17,0.31,0.49,3.47
1904.12,8.25,0.31,0.49,3.47
1905.01,8.43,0.31,0.51,3.48
1905.02,8.8,0.31,0.52,3.48
1905.03,9.05,0.32,0.54,3.47
1905.04,8.94,0.32,0.55,3.47
1905.05,8.5,0.32,0.57,3.46
1905.06,8.6,0.32,0.58,3.46
1905.07,8.87,0.32,0.6,3.46
1905.08,9.2,0.32,0.61,3.45
1905.09,9.23,0.33,0.63,3.45
1905.1,9.36,0.33,0.64,3.44
1905.11,9.31,0.33,0.66,3.44
1905.12,9.54,0.33,0.67,3.43
1906.01,9.87,0.34,0.68,3.43
1906.02,9.8,0.34,0.69,3.45
1906.03,9.56,0.35,0.69,3.47
1906.04,9.43,0.35,0.7,3.49
1906.05,9.18,0.36,0.71,3.51
1906.06,9.3,0.37,0.72,3.53
1906.07,9.06,0.37,0.72,3.55
1906.08,9.73,0.38,0.73,3.57
1906.09,10.03,0.38,0.74,3.59
1906.1,9.73,0.39,0.75,3.61
1906.11,9.93,0.39,0.75,3.63
1906.12,9.84,0.4,0.76,3.65
1907.01,9.56,0.4,0.75,3.67
1907.02,9.26,0.41,0.74,3.69
1907.03,8.35,0.41,0.74,3.7
1907.04,8.39,0.41,0.73,3.72
1907.05,8.1,0.42,0.72,3.74
1907.06,7.84,0.42,0.71,3.75
1907.07,8.14,0.42,0.7,3.77
1907.08,7.53,0.43,0.69,3.79
1907.09,7.45,0.43,0.69,3.8
1907.1,6.64,0.43,0.68,3.82
1907.11,6.25,0.44,0.67,3.84
1907.12,6.57,0.44,0.66,3.85
1908.01,6.85,0.44,0.65,3.87
1908.02,6.6,0.43,0.65,3.86
1908.03,6.87,0.43,0.64,3.85
1908.04,7.24,0.43,0.63,3.84
1908.05,7.63,0.42,0.63,3.83
1908.06,7.64,0.42,0.62,3.82
1908.07,7.92,0.42,0.61,3.82
1908.08,8.26,0.41,0.61,3.81
1908.09,8.17,0.41,0.6,3.8
1908.1,8.27,0.41,0.59,3.79
1908.11,8.83,0.4,0.59,3.78
1908.12,9.03,0.4,0.58,3.77
1909.01,9.06,0.4,0.6,3.76
1909.02,8.8,0.41,0.61,3.77
1909.03,8.92,0.41,0.63,3.79
1909.04,9.32,0.41,0.64,3.8
1909.05,9.63,0.42,0.66,3.81
1909.06,9.8,0.42,0.67,3.82
1909.07,9.94,0.42,0.69,3.84
1909.08,10.18,0.43,0.7,3.85
1909.09,10.19,0.43,0.72,3.86
1909.1,10.23,0.43,0.73,3.87
1909.11,10.18,0.44,0.75,3.89
1909.12,10.3,0.44,0.76,3.9
1910.01,10.08,0.44,0.76,3.91
1910.02,9.72,0.45,0.76,3.92
1910.03,9.96,0.45,0.75,3.92
1910.04,9.72,0.45,0.75,3.93
1910.05,9.56,0.45,0.75,3.93
1910.06,9.1,0.46,0.75,3.94
1910.07,8.64,0.46,0.74,3.95
1910.08,8.85,0.46,0.74,3.95
1910.09,8.91,0.46,0.74,3.96
1910.1,9.32,0.47,0.74,3.96
1910.11,9.31,0.47,0.73,3.97
1910.12,9.05,0.47,0.73,3.97
1911.01,9.27,0.47,0.72,3.98
1911.02,9.43,0.47,0.71,3.98
1911.03,9.32,0.47,0.7,3.99
1911.04,9.28,0.47,0.68,3.99
1911.05,9.48,0.47,0.67,3.99
1911.06,9.67,0.47,0.66,3.99
1911.07,9.63,0.47,0.65,4
1911.08,9.17,0.47,0.64,4
1911.09,8.67,0.47,0.63,4
1911.1,8.72,0.47,0.61,4
1911.11,9.07,0.47,0.6,4.01
1911.12,9.11,0.47,0.59,4.01
1912.01,9.12,0.47,0.6,4.01
1912.02,9.04,0.47,0.61,4.05
1912.03,9.3,0.47,0.62,4.08
1912.04,9.59,0.47,0.63,4.12
1912.05,9.58,0.47,0.64,4.16
1912.06,9.58,0.48,0.65,4.19
1912.07,9.59,0.48,0.65,4.23
1912.08,9.81,0.48,0.66,4.27
1912.09,9.86,0.48,0.67,4.3
1912.1,9.84,0.48,0.68,4.34
1912.11,9.73,0.48,0.69,4.38
1912.12,9.38,0.48,0.7,4.41
1913.01,9.3,0.48,0.69,4.45
1913.02,8.97,0.48,0.69,4.43
1913.03,8.8,0.48,0.68,4.4
1913.04,8.79,0.48,0.68,4.38
1913.05,8.55,0.48,0.67,4.35
1913.06,8.12,0.48,0.67,4.33
1913.07,8.23,0.48,0.66,4.31
1913.08,8.45,0.48,0.65,4.28
1913.09,8.53,0.48,0.65,4.26
1913.1,8.26,0.48,0.64,4.23
1913.11,8.05,0.48,0.64,4.21
1913.12,8.04,0.48,0.63,4.18
1914.01,8.37,0.48,0.62,4.16
1914.02,8.48,0.47,0.61,4.17
1914.03,8.32,0.47,0.6,4.17
1914.04,8.12,0.46,0.59,4.18
1914.05,8.17,0.46,0.58,4.19
1914.06,8.13,0.45,0.58,4.19
1914.07,7.68,0.45,0.57,4.2
1914.08,7.68,0.44,0.56,4.21
1914.09,7.68,0.44,0.55,4.21
1914.1,7.68,0.43,0.54,4.22
1914.11,7.68,0.43,0.53,4.23
1914.12,7.35,0.42,0.52,4.23
1915.01,7.48,0.42,0.55,4.24
1915.02,7.38,0.42,0.58,4.22
1915.03,7.57,0.42,0.61,4.21
1915.04,8.14,0.42,0.64,4.19
1915.05,7.95,0.42,0.67,4.18
1915.06,8.04,0.43,0.7,4.16
1915.07,8.01,0.43,0.73,4.15
1915.08,8.35,0.43,0.76,4.13
1915.09,8.66,0.43,0.79,4.11
1915.1,9.14,0.43,0.82,4.1
1915.11,9.46,0.43,0.85,4.08
1915.12,9.48,0.43,0.88,4.07
1916.01,9.33,0.44,0.93,4.05
1916.02,9.2,0.45,0.99,4.07
1916.03,9.17,0.46,1.04,4.08
1916.04,9.07,0.47,1.1,4.1
1916.05,9.27,0.48,1.15,4.11
1916.06,9.36,0.5,1.21,4.13
1916.07,9.23,0.51,1.26,4.14
1916.08,9.3,0.52,1.31,4.16
1916.09,9.68,0.53,1.37,4.17
1916.1,9.98,0.54,1.42,4.19
1916.11,10.21,0.55,1.48,4.2
1916.12,9.8,0.56,1.53,4.22
1917.01,9.57,0.57,1.51,4.23
1917.02,9.03,0.58,1.49,4.26
1917.03,9.31,0.59,1.47,4.29
1917.04,9.17,0.6,1.45,4.32
1917.05,8.86,0.61,1.43,4.34
1917.06,9.04,0.63,1.41,4.37
1917.07,8.79,0.64,1.38,4.4
1917.08,8.53,0.65,1.36,4.43
1917.09,8.12,0.66,1.34,4.46
1917.1,7.68,0.67,1.32,4.49
1917.11,7.04,0.68,1.3,4.51
1917.12,6.8,0.69,1.28,4.54
1918.01,7.21,0.68,1.26,4.57
1918.02,7.43,0.67,1.23,4.56
1918.03,7.28,0.66,1.21,4.56
1918.04,7.21,0.65,1.18,4.55
1918.05,7.44,0.64,1.16,4.55
1918.06,7.45,0.63,1.14,4.54
1918.07,7.51,0.62,1.11,4.54
1918.08,7.58,0.61,1.09,4.53
1918.09,7.54,0.6,1.06,4.52
1918.1,7.86,0.59,1.04,4.52
1918.11,8.06,0.58,1.01,4.51
1918.12,7.9,0.57,0.99,4.51
1919.01,7.85,0.57,0.99,4.5
1919.02,7.88,0.56,0.98,4.54
1919.03,8.12,0.56,0.98,4.58
1919.04,8.39,0.56,0.97,4.62
1919.05,8.97,0.55,0.97,4.66
1919.06,9.21,0.55,0.96,4.7
1919.07,9.51,0.55,0.96,4.74
1919.08,8.87,0.54,0.95,4.77
1919.09,9.01,0.54,0.95,4.81
1919.1,9.47,0.54,0.94,4.85
1919.11,9.19,0.53,0.94,4.89
1919.12,8.92,0.53,0.93,4.93
1920.01,8.83,0.53,0.92,4.97
1920.02,8.1,0.53,0.91,4.98
1920.03,8.67,0.53,0.9,4.99
1920.04,8.6,0.52,0.89,5
1920.05,8.06,0.52,0.88,5.01
1920.06,7.92,0.52,0.87,5.02
1920.07,7.91,0.52,0.85,5.03
1920.08,7.6,0.52,0.84,5.04
1920.09,7.87,0.52,0.83,5.05
1920.1,7.88,0.51,0.82,5.06
1920.11,7.48,0.51,0.81,5.07
1920.12,6.81,0.51,0.8,5.08
1921.01,7.11,0.51,0.76,5.09
1921.02,7.06,0.5,0.72,5.02
1921.03,6.88,0.5,0.67,4.96
1921.04,6.91,0.49,0.63,4.89
1921.05,7.12,0.49,0.59,4.83
1921.06,6.55,0.49,0.55,4.76
1921.07,6.53,0.48,0.5,4.7
1921.08,6.45,0.48,0.46,4.63
1921.09,6.61,0.47,0.42,4.56
1921.1,6.7,0.47,0.38,4.5
1921.11,7.06,0.46,0.33,4.43
1921.12,7.31,0.46,0.29,4.37
1922.01,7.3,0.46,0.32,4.3
1922.02,7.46,0.47,0.36,4.31
1922.03,7.74,0.47,0.39,4.31
1922.04,8.21,0.48,0.42,4.32
1922.05,8.53,0.48,0.46,4.32
1922.06,8.45,0.49,0.49,4.33
1922.07,8.51,0.49,0.52,4.33
1922.08,8.83,0.49,0.56,4.34
